trucks_count 15
drones_count 15
customers 1000
depot 0 0
Coordinate X         Coordinate Y         Dronable Demand
X	Y	Dronable	Demand	Drone_service	Truck_service	Lw
-21670.772910336	-1974.1822848	1.0	0.714621	60	60	4800.0
-10585.15438464	22284.721552896	1.0	1.376048	60	60	5300.0
24657.27441408	5617.1818771200005	1.0	16.37846	60	60	7200.0
9745.448575104	-27065.508041088004	1.0	0.761379	60	60	7200.0
-17420.241129984002	-26339.930470656	1.0	15.950585	60	60	7200.0
9381.870406656	-22194.821987712003	1.0	1.065122	60	60	6600.0
24673.486945536	-12619.197828864	1.0	1.227641	60	60	7200.0
8269.472521728	29916.641183616	1.0	2.165354	60	60	7200.0
-1001.708813952	2837.16081792	1.0	1.060585	60	60	1200.0
-29884.661908992	-23547.409636608	1.0	0.444108	60	60	7200.0
24226.515789696	23172.318221184003	1.0	7.669489	60	60	6700.0
7739.438294016	21149.295564672	1.0	0.458373	60	60	5200.0
-15499.97830656	18029.773732608	1.0	0.868721	60	60	7000.0
-22198.787411328	-2204.096387328	1.0	1.441123	60	60	4900.0
-24864.104086272	1548.225942912	1.0	0.507039	60	60	6500.0
-26410.187992320003	26142.309464831997	1.0	0.568238	60	60	7200.0
6339.074049792001	1261.257376896	1.0	0.631615	60	60	1500.0
19439.04086784	15728.587231104	1.0	1.275732	60	60	5000.0
-20988.740969856	-187.157051136	1.0	1.06657	60	60	5500.0
10586.340471168	-5851.061403264	1.0	1.338279	60	60	2800.0
28622.652968447997	-25318.949762304	1.0	1.787568	60	60	7200.0
7164.495321984001	-25177.858573824	1.0	0.868539	60	60	5900.0
-2928.2577350399997	-17272.261949184	1.0	8.36473	60	60	4000.0
1879.316284032	-25648.247294208	1.0	2.009751	60	60	7200.0
29192.563521792	-21047.285685888	1.0	0.302828	60	60	7200.0
23283.139258368003	1381.464108288	1.0	1.342602	60	60	7200.0
-24454.21543488	30094.624973952003	1.0	0.940186	60	60	7200.0
-21139.819747200003	9917.973470592	1.0	2.092676	60	60	5300.0
-24237.753838848	16810.644153600002	1.0	0.692634	60	60	6900.0
31291.001647488	24870.668600448003	1.0	27.585635	60	60	7200.0
7726.27546944	-4989.153083904	1.0	1.04768	60	60	2400.0
3646.36312128	-24518.827377792	1.0	1.261149	60	60	6200.0
7846.472544768	12516.751817856	1.0	1.016699	60	60	3600.0
4903.355736576	-14919.186978432	1.0	1.423974	60	60	4800.0
7710.632645760001	-20113.198288128	1.0	17.769829	60	60	4900.0
-21078.561677184003	-6529.679925120001	1.0	1.702066	60	60	5900.0
-13135.164780672	-10747.035078912	1.0	2.078418	60	60	4200.0
-22386.22448832	30901.514649984	1.0	1.298179	60	60	7200.0
27388.99905984	31981.630703616003	1.0	1.704228	60	60	7200.0
24286.611913344	-11784.762620928	1.0	0.713148	60	60	5700.0
-7344.637242624	12692.632195584	1.0	0.203957	60	60	3500.0
-11707.882648704	28372.076498304003	1.0	25.46929	60	60	7200.0
6890.461053696	16129.632537216	1.0	0.980958	60	60	4200.0
-5543.926147584	-30479.000694912003	1.0	0.889945	60	60	7200.0
21796.29530496	-27253.738524672004	1.0	1.391527	60	60	7200.0
-157.09611456	-4715.725538304	1.0	0.868248	60	60	1200.0
8765.979285888	-24801.698553984003	1.0	0.555654	60	60	7200.0
-23723.317373184	-1230.48832896	1.0	34.100361	60	60	5600.0
12319.373822976	3191.543194752	1.0	2.020391	60	60	3900.0
